14,Thrisur,2,04:17 AM,05:46 AM,1 Hr 29 Mins,04:20 AM,05:49 AM,1 Hr 29 Mins, 294 Kms,16343,2018-01-07
15,Shoranur Jn,2,05:30 AM,06:30 AM,1 Hr,05:40 AM,07:05 AM,1 Hr 25 Mins, 327 Kms,16343,2018-01-07
16,Ottappalam,2,05:58 AM,07:23 AM,1 Hr 25 Mins,06:00 AM,07:24 AM,1 Hr 24 Mins, 336 Kms,16343,2018-01-07
17,Palakkad Jn,2,07:15 AM,07:55 AM,40 Mins,07:30 AM,08:20 AM,50 Mins, 367 Kms,16343,2018-01-07
18,Palghat Town,2,07:45 AM,08:30 AM,45 Mins,07:50 AM,08:35 AM,45 Mins, 371 Kms,16343,2018-01-07
19,Pollachi Jn,2,09:05 AM,09:32 AM,27 Mins,09:10 AM,09:35 AM,25 Mins, 425 Kms,16343,2018-01-07
20,Palani,2,10:28 AM,10:40 AM,12 Mins,10:30 AM,10:45 AM,15 Mins, 488 Kms,16343,2018-01-07
21,Dindigul Jn,2,11:43 AM,11:51 AM,8 Mins,11:45 AM,11:55 AM,10 Mins, 546 Kms,16343,2018-01-07
1,Trivandrum Cntl,1,Source,Source,No Delay,10:30 PM,10:30 PM,No Delay, 0 Kms,16343,2018-01-08
2,Varkalasivagiri,1,11:04 PM,11:17 PM,13 Mins,11:05 PM,11:18 PM,13 Mins, 41 Kms,16343,2018-01-08
3,Kollam Jn,2,11:30 PM,11:55 PM,25 Mins,11:35 PM,12:00 AM,25 Mins, 64 Kms,16343,2018-01-08
4,Karunagapalli,2,11:58 PM,12:37 AM,39 Mins,11:59 PM,12:38 AM,39 Mins, 91 Kms,16343,2018-01-08
5,Kayankulam Jn,2,12:19 AM,12:54 AM,35 Mins,12:20 AM,12:56 AM,36 Mins, 105 Kms,16343,2018-01-08
6,Mavelikara,2,12:30 AM,01:05 AM,35 Mins,12:31 AM,01:07 AM,36 Mins, 113 Kms,16343,2018-01-08
7,Chengannur,2,12:41 AM,01:20 AM,39 Mins,12:43 AM,01:23 AM,40 Mins, 125 Kms,16343,2018-01-08
8,Tiruvalla,2,12:53 AM,01:36 AM,43 Mins,12:54 AM,01:37 AM,43 Mins, 134 Kms,16343,2018-01-08
9,Changanaseri,2,01:04 AM,01:49 AM,45 Mins,01:05 AM,01:54 AM,49 Mins, 142 Kms,16343,2018-01-08
10,Kottayam,2,01:25 AM,02:20 AM,55 Mins,01:28 AM,02:23 AM,55 Mins, 160 Kms,16343,2018-01-08
11,Ernakulam Town,2,02:55 AM,03:35 AM,40 Mins,03:00 AM,03:40 AM,40 Mins, 223 Kms,16343,2018-01-08
12,Idaplli,2,03:11 AM,03:53 AM,42 Mins,03:12 AM,03:54 AM,42 Mins, 229 Kms,16343,2018-01-08
13,Aluva,2,03:28 AM,04:06 AM,38 Mins,03:30 AM,04:08 AM,38 Mins, 240 Kms,16343,2018-01-08
14,Thrisur,2,04:17 AM,04:57 AM,40 Mins,04:20 AM,05:00 AM,40 Mins, 294 Kms,16343,2018-01-08
15,Shoranur Jn,2,05:30 AM,05:37 AM,7 Mins,05:40 AM,06:40 AM,1 Hr, 327 Kms,16343,2018-01-08
16,Ottappalam,2,05:58 AM,06:56 AM,58 Mins,06:00 AM,06:58 AM,58 Mins, 336 Kms,16343,2018-01-08
17,Palakkad Jn,2,07:15 AM,07:23 AM,8 Mins,07:30 AM,08:08 AM,38 Mins, 367 Kms,16343,2018-01-08
18,Palghat Town,2,07:45 AM,08:20 AM,35 Mins,07:50 AM,08:25 AM,35 Mins, 371 Kms,16343,2018-01-08
19,Pollachi Jn,2,09:05 AM,09:18 AM,13 Mins,09:10 AM,09:22 AM,12 Mins, 425 Kms,16343,2018-01-08
20,Palani,2,10:28 AM,10:26 AM,2M Before,10:30 AM,10:43 AM,13 Mins, 488 Kms,16343,2018-01-08
21,Dindigul Jn,2,11:43 AM,11:50 AM,7 Mins,11:45 AM,11:52 AM,7 Mins, 546 Kms,16343,2018-01-08
1,Trivandrum Cntl,1,Source,Source,No Delay,10:30 PM,10:30 PM,No Delay, 0 Kms,16343,2018-01-09
2,Varkalasivagiri,1,11:04 PM,11:21 PM,17 Mins,11:05 PM,11:22 PM,17 Mins, 41 Kms,16343,2018-01-09
3,Kollam Jn,2,11:30 PM,11:55 PM,25 Mins,11:35 PM,12:00 AM,25 Mins, 64 Kms,16343,2018-01-09
4,Karunagapalli,2,11:58 PM,01:08 AM,1 Hr 10 Mins,11:59 PM,01:09 AM,1 Hr 10 Mins, 91 Kms,16343,2018-01-09
5,Kayankulam Jn,2,12:19 AM,01:44 AM,1 Hr 25 Mins,12:20 AM,01:45 AM,1 Hr 25 Mins, 105 Kms,16343,2018-01-09
6,Mavelikara,2,12:30 AM,01:58 AM,1 Hr 28 Mins,12:31 AM,01:59 AM,1 Hr 28 Mins, 113 Kms,16343,2018-01-09
7,Chengannur,2,12:41 AM,02:13 AM,1 Hr 32 Mins,12:43 AM,02:15 AM,1 Hr 32 Mins, 125 Kms,16343,2018-01-09
8,Tiruvalla,2,12:53 AM,02:30 AM,1 Hr 37 Mins,12:54 AM,02:31 AM,1 Hr 37 Mins, 134 Kms,16343,2018-01-09
9,Changanaseri,2,01:04 AM,02:42 AM,1 Hr 38 Mins,01:05 AM,02:43 AM,1 Hr 38 Mins, 142 Kms,16343,2018-01-09
10,Kottayam,2,01:25 AM,03:04 AM,1 Hr 39 Mins,01:28 AM,03:08 AM,1 Hr 40 Mins, 160 Kms,16343,2018-01-09
11,Ernakulam Town,2,02:55 AM,04:20 AM,1 Hr 25 Mins,03:00 AM,04:25 AM,1 Hr 25 Mins, 223 Kms,16343,2018-01-09
12,Idaplli,2,03:11 AM,04:40 AM,1 Hr 29 Mins,03:12 AM,04:41 AM,1 Hr 29 Mins, 229 Kms,16343,2018-01-09
13,Aluva,2,03:28 AM,05:04 AM,1 Hr 36 Mins,03:30 AM,05:06 AM,1 Hr 36 Mins, 240 Kms,16343,2018-01-09
14,Thrisur,2,04:17 AM,06:03 AM,1 Hr 46 Mins,04:20 AM,06:06 AM,1 Hr 46 Mins, 294 Kms,16343,2018-01-09
15,Shoranur Jn,2,05:30 AM,06:48 AM,1 Hr 18 Mins,05:40 AM,07:02 AM,1 Hr 22 Mins, 327 Kms,16343,2018-01-09
16,Ottappalam,2,05:58 AM,07:17 AM,1 Hr 19 Mins,06:00 AM,07:19 AM,1 Hr 19 Mins, 336 Kms,16343,2018-01-09
17,Palakkad Jn,2,07:15 AM,07:42 AM,27 Mins,07:30 AM,08:28 AM,58 Mins, 367 Kms,16343,2018-01-09
18,Palghat Town,2,07:45 AM,08:40 AM,55 Mins,07:50 AM,08:45 AM,55 Mins, 371 Kms,16343,2018-01-09
19,Pollachi Jn,2,09:05 AM,09:35 AM,30 Mins,09:10 AM,09:40 AM,30 Mins, 425 Kms,16343,2018-01-09
20,Palani,2,10:28 AM,10:52 AM,24 Mins,10:30 AM,10:54 AM,24 Mins, 488 Kms,16343,2018-01-09
21,Dindigul Jn,2,11:43 AM,11:53 AM,10 Mins,11:45 AM,11:55 AM,10 Mins, 546 Kms,16343,2018-01-09
1,Trivandrum Cntl,1,Source,Source,No Delay,10:30 PM,10:30 PM,No Delay, 0 Kms,16343,2018-01-10
2,Varkalasivagiri,1,11:04 PM,11:13 PM,9 Mins,11:05 PM,11:14 PM,9 Mins, 41 Kms,16343,2018-01-10
3,Kollam Jn,2,11:30 PM,11:58 PM,28 Mins,11:35 PM,12:03 AM,28 Mins, 64 Kms,16343,2018-01-10
4,Karunagapalli,2,11:58 PM,12:44 AM,46 Mins,11:59 PM,12:45 AM,46 Mins, 91 Kms,16343,2018-01-10
5,Kayankulam Jn,2,12:19 AM,01:04 AM,45 Mins,12:20 AM,01:05 AM,45 Mins, 105 Kms,16343,2018-01-10
